year,revenue,ebit,nopat,delta_nwc,capex,depreciation,fcf,scenario
2024.0,71610.0,20050.800000000003,13233.528,341.0,10741.5,8593.2,10744.228000000003,base
2025.0,75190.5,21053.340000000004,13895.2044,358.05,11278.574999999999,9022.859999999999,11281.439400000001,base
2026.0,78950.02500000001,22106.007000000005,14589.964620000002,375.9525000000009,11842.503750000002,9474.003000000002,11845.51137,base
2027.0,82897.52625000001,23211.307350000006,15319.462851000002,394.75012500000014,12434.628937500001,9947.703150000001,12437.786938500003,base
2028.0,87042.40256250002,24371.87271750001,16085.435993550005,414.4876312500012,13056.360384375002,10445.088307500002,13059.676285425001,base
2024.0,69564.0,16695.36,11018.9376,204.6,8347.68,7095.528,9562.185599999999,downside
2025.0,70955.28,17029.2672,11239.316351999998,208.6919999999998,8514.6336,7237.438559999999,9753.429311999998,downside
2026.0,72374.3856,17369.852543999998,11464.102679039997,212.86583999999928,8684.926271999999,7382.187331199999,9948.497898239997,downside
2027.0,73821.873312,17717.24959488,11693.384732620798,217.1231568000003,8858.62479744,7529.831077823999,10147.467856204796,downside
2028.0,75298.31077824,18071.5945867776,11927.252427273213,221.46561993600116,9035.7972933888,7680.42769938048,10350.417213328892,downside
2024.0,73656.0,23569.920000000002,15556.1472,436.48,13258.08,9943.56,11805.147199999998,upside
2025.0,79548.48000000001,25455.513600000006,16800.638976000002,471.39840000000083,14318.726400000001,10739.044800000001,12749.558976000004,upside
2026.0,85912.35840000001,27491.954688000005,18144.69009408,509.1102720000001,15464.224512,11598.168384,13769.52369408,upside
2027.0,92785.34707200002,29691.311063040008,19596.265301606403,549.8390937600005,16701.36247296,12526.021854720002,14871.085589606404,upside
2028.0,100208.17483776003,32066.61594808321,21163.966525734915,593.8262212608009,18037.471470796805,13528.103603097603,16060.772436774916,upside
